Round,Loss,AUC,Precision,Recall,F1score
0,0.6916972,0.61892223,0.61612713,0.61612713,0.6161271495568593
1,0.5748853,0.76469356,0.7016632,0.7016632,0.7016631901837885
2,0.49237624,0.83503234,0.75378674,0.75378674,0.7537867367132403
3,0.44662657,0.86768794,0.78267,0.78267,0.7826700339592708
4,0.41525683,0.8871001,0.8013959,0.8013959,0.8013959190764997
5,0.3916631,0.90042216,0.8154143,0.8154143,0.8154142917938987
6,0.3735519,0.9099639,0.8261063,0.8261063,0.8261062742482483
7,0.3589388,0.9172728,0.83505344,0.83505344,0.8350534537360512
8,0.3473461,0.9227824,0.8419793,0.8419793,0.841979322060511
9,0.3384445,0.92683727,0.8475794,0.8475794,0.8475794307786985
10,0.3314836,0.9299579,0.85210735,0.85210735,0.8521073288458741
11,0.3256627,0.9324635,0.8557321,0.8557321,0.855732077380464
12,0.32233283,0.93392915,0.85838795,0.85838795,0.8583879578039851
13,0.31912586,0.935299,0.8610569,0.8610569,0.8610569136194047
14,0.3170332,0.93625283,0.8632809,0.8632809,0.8632809171847867
15,0.31547207,0.9370253,0.86518973,0.86518973,0.8651897371598243
16,0.31472927,0.9374993,0.8668041,0.8668041,0.8668041252709289
17,0.31284463,0.9382134,0.86858565,0.86858565,0.8685856440465155
18,0.31259617,0.93846786,0.8699998,0.8699998,0.8699998458500258
19,0.3124395,0.9386912,0.87123555,0.87123555,0.8712355493539091
20,0.31179243,0.93895876,0.8723677,0.8723677,0.8723676799945559
21,0.31156275,0.9391348,0.87341714,0.87341714,0.8734171367020102
22,0.31213334,0.9390527,0.8741752,0.8741752,0.8741751968093223
23,0.31269166,0.9389909,0.87486386,0.87486386,0.8748638418071397
24,0.31334305,0.9388748,0.8756519,0.8756519,0.8756519041827034
25,0.31452194,0.9385661,0.87617373,0.87617373,0.876173726965264
26,0.31587365,0.93821055,0.87659085,0.87659085,0.8765908507070969
27,0.31651527,0.9380962,0.8771692,0.8771692,0.8771692126712293
28,0.3171819,0.93796575,0.8776922,0.8776922,0.877692249602587
29,0.3179017,0.9378332,0.8781804,0.8781804,0.8781803711317031
30,0.31871155,0.937693,0.8786227,0.8786227,0.878622681213008
31,0.31959185,0.937536,0.8790281,0.8790281,0.8790280671271967
32,0.32055965,0.937341,0.87942237,0.87942237,0.8794223417116372
33,0.32160547,0.9371216,0.8798022,0.8798022,0.8798022334003043
34,0.32272774,0.9368964,0.88015616,0.88015616,0.8801561906387197
35,0.32394436,0.9366363,0.88048625,0.88048625,0.8804862515221253
36,0.32525083,0.9363469,0.8807945,0.8807945,0.8807945034539509
37,0.32664102,0.93605095,0.88109046,0.88109046,0.8810904568284452
38,0.32810175,0.9357387,0.8813598,0.8813598,0.8813598431678493
39,0.32962576,0.9354281,0.88160455,0.88160455,0.8816045303623113
40,0.33120838,0.93511415,0.88182646,0.88182646,0.8818264889071298
41,0.3328629,0.9347959,0.8820414,0.8820414,0.8820413889555073
42,0.33457145,0.93445814,0.8822394,0.8822394,0.882239399586029
43,0.33637273,0.9341296,0.88243514,0.88243514,0.8824351283248918
44,0.3382209,0.9337917,0.8826222,0.8826222,0.8826221845937684
45,0.34011304,0.9334523,0.8828011,0.8828011,0.8828011311904811
46,0.34207666,0.93311155,0.88295346,0.88295346,0.8829534625204399
47,0.34407637,0.9327782,0.88310254,0.88310254,0.8831025400779509
48,0.34613135,0.9324368,0.8832425,0.8832425,0.8832424662664872
49,0.3482699,0.93207794,0.8833294,0.8833294,0.8833293926614973
50,0.35046375,0.9317189,0.88341284,0.88341284,0.8834128095361727
