Round,Loss,AUC,Precision,Recall,F1score
0,0.69263035,0.55431515,0.6159786,0.6159786,0.6159786058337557
1,0.86967945,0.6167813,0.6170181,0.6170181,0.6170181144503115
2,0.6857528,0.74019694,0.6999307,0.6999307,0.6999307410638047
3,0.5873806,0.8006909,0.7438001,0.7438001,0.7438000720416351
4,0.52370715,0.8356547,0.77231956,0.77231956,0.7723195722095499
5,0.48022962,0.8591813,0.7926938,0.7926938,0.7926937683070291
6,0.4458429,0.8763467,0.808753,0.808753,0.8087530467348789
7,0.4183677,0.88927215,0.821707,0.821707,0.8217070328673616
8,0.39593405,0.89928734,0.83216184,0.83216184,0.8321618260801116
9,0.37775588,0.9072161,0.84067416,0.84067416,0.8406741636446294
10,0.3621592,0.9137362,0.84807086,0.84807086,0.8480708263296699
11,0.34877253,0.91916823,0.8543461,0.8543461,0.8543461218153299
12,0.33696684,0.9238297,0.8598958,0.8598958,0.8598958261851082
13,0.3264294,0.9278593,0.8648012,0.8648012,0.8648012396756017
14,0.31723273,0.9312864,0.8691813,0.8691813,0.8691813072186401
15,0.30891958,0.9343439,0.87314373,0.87314373,0.8731437626020374
16,0.30166057,0.93699276,0.87674487,0.87674487,0.8767448949775986
17,0.29478368,0.93942195,0.8799459,0.8799459,0.8799458810724782
18,0.28850642,0.9415908,0.8828881,0.8828881,0.8828880848780523
19,0.28284776,0.9435123,0.88544697,0.88544697,0.8854469454912999
20,0.2776605,0.94525474,0.8878612,0.8878612,0.8878611671353323
21,0.2728734,0.94683045,0.89004236,0.89004236,0.8900423661703354
22,0.2685364,0.948244,0.89205974,0.89205974,0.8920597431064863
23,0.2644923,0.9495523,0.8939338,0.8939338,0.8939337445958452
24,0.26074067,0.950742,0.8956876,0.8956876,0.8956875637845755
25,0.25730467,0.95183253,0.89732355,0.89732355,0.8973235473484468
26,0.25414744,0.9528176,0.8988164,0.8988164,0.8988163972382094
27,0.25116953,0.9537365,0.9002397,0.9002397,0.9002397190164197
28,0.24834256,0.95459557,0.9015803,0.9015803,0.9015803047030191
29,0.24574499,0.9553885,0.9028512,0.9028512,0.9028511955572368
30,0.24331196,0.95611435,0.9040258,0.9040258,0.9040258096572066
31,0.24100439,0.95679986,0.9051409,0.9051409,0.9051409005709565
32,0.23886497,0.95743024,0.9061749,0.9061749,0.9061748754792776
33,0.23679978,0.95803,0.9071525,0.9071525,0.9071524918734152
34,0.23485397,0.95859665,0.90807414,0.90807414,0.9080741683796133
35,0.23301138,0.9591332,0.9089529,0.9089529,0.9089528914636282
36,0.23128705,0.9596339,0.9097882,0.9097882,0.9097882015994404
37,0.22959416,0.96012473,0.91058725,0.91058725,0.9105872645228462
38,0.2279908,0.96058285,0.91134924,0.91134924,0.9113492086902055
39,0.22649086,0.9610053,0.9120693,0.9120693,0.9120693107508151
40,0.2250226,0.96142024,0.912758,0.912758,0.9127579792468599
41,0.22366138,0.96179223,0.91341734,0.91341734,0.913417315949519
42,0.22231932,0.96216875,0.91406333,0.91406333,0.9140633609551941
43,0.22104268,0.962526,0.91467315,0.91467315,0.9146731237328265
44,0.21982415,0.96286255,0.9152526,0.9152526,0.9152526301674767
45,0.21870984,0.9631632,0.9158004,0.9158004,0.9158003722978193
46,0.21758875,0.9634686,0.9163249,0.9163249,0.9163249125224958
47,0.21653128,0.9637592,0.91681206,0.91681206,0.916812046429119
48,0.21553394,0.96403503,0.9173066,0.9173066,0.9173066068021062
49,0.21458025,0.96429497,0.9177606,0.9177606,0.9177606344108006
50,0.2136551,0.9645521,0.91821134,0.91821134,0.9182113244829773
