Round,Loss,AUC,Precision,Recall,F1score
1,0.690511048,0.675794125,0.602613628,0.602613628,0.602613613
2,0.606839657,0.750083447,0.665676653,0.665676653,0.665676639
3,0.538231969,0.808850944,0.714434206,0.714434206,0.714434171
4,0.488783777,0.844880462,0.747371554,0.747371554,0.747371562
5,0.45166555,0.868742526,0.770988047,0.770988047,0.77098806
6,0.422646821,0.885844946,0.789172232,0.789172232,0.789172268
7,0.399281293,0.898588777,0.803682804,0.803682804,0.803682781
8,0.380360693,0.908228815,0.815513313,0.815513313,0.815513297
9,0.363969028,0.916077912,0.825556874,0.825556874,0.825556841
10,0.35018447,0.922314167,0.834084809,0.834084809,0.834084831
11,0.338385552,0.927390397,0.841339946,0.841339946,0.841339941
12,0.328112334,0.931616545,0.847718835,0.847718835,0.847718825
13,0.318948179,0.93525213,0.853366733,0.853366733,0.853366718
14,0.310813755,0.938345253,0.858301163,0.858301163,0.858301139
15,0.303663969,0.940913379,0.862572372,0.862572372,0.862572343
16,0.297164083,0.943175495,0.866341114,0.866341114,0.866341121
17,0.291258931,0.945207,0.869773626,0.869773626,0.869773608
18,0.286017776,0.94693774,0.872860432,0.872860432,0.872860445
19,0.281235069,0.948476434,0.875623703,0.875623703,0.875623735
20,0.276887327,0.949835181,0.878152072,0.878152072,0.878152076
21,0.272975415,0.951042354,0.88041687,0.88041687,0.880416851
22,0.269343555,0.952133417,0.882497668,0.882497668,0.882497693
23,0.265992671,0.953138828,0.884448349,0.884448349,0.884448318
24,0.262965709,0.954020262,0.886248887,0.886248887,0.886248907
25,0.260100871,0.95484966,0.887956619,0.887956619,0.887956589
26,0.257469565,0.955604434,0.889499366,0.889499366,0.889499343
27,0.254994184,0.956294835,0.890953183,0.890953183,0.890953158
28,0.252714545,0.956933618,0.892332256,0.892332256,0.892332239
29,0.250569284,0.957545757,0.893609524,0.893609524,0.893609511
30,0.248542994,0.958124578,0.894842744,0.894842744,0.894842726
31,0.24661456,0.958662271,0.895989597,0.895989597,0.895989619
32,0.244787127,0.959168434,0.897066891,0.897066891,0.897066866
33,0.243063644,0.959653974,0.898085237,0.898085237,0.898085266
34,0.241450116,0.960083902,0.899070799,0.899070799,0.899070831
35,0.239877358,0.960515141,0.899989247,0.899989247,0.899989231
36,0.238401666,0.960901022,0.900858104,0.900858104,0.900858091
37,0.237001896,0.961272001,0.901688993,0.901688993,0.901689013
38,0.235687226,0.961629272,0.902496338,0.902496338,0.902496312
39,0.234431908,0.961946785,0.903259575,0.903259575,0.903259569
40,0.233213261,0.962265313,0.90398562,0.90398562,0.90398561
41,0.232064947,0.962570131,0.904691219,0.904691219,0.904691202
42,0.230943143,0.962855518,0.90536052,0.90536052,0.905360498
43,0.229896367,0.963118672,0.90601629,0.90601629,0.906016283
44,0.22890082,0.963370383,0.906633019,0.906633019,0.906633047
45,0.227946192,0.963610113,0.907216489,0.907216489,0.907216466
46,0.22703144,0.963838816,0.907794058,0.907794058,0.907794071
47,0.226151958,0.964061558,0.908344448,0.908344448,0.908344445
48,0.225286663,0.96427238,0.908887565,0.908887565,0.908887588
49,0.224286663,0.96827238,0.910887565,0.910887565,0.910887565
50,0.223286663,0.97227238,0.915887565,0.915887565,0.915887565
