Round,Loss,AUC,Precision,Recall,F1score
0,0.69265103,0.54991364,0.6262251,0.6262251,0.626225096641886
1,0.68627226,0.6931045,0.6731512,0.6731512,0.6731512078120685
2,0.56547666,0.7958268,0.73665977,0.73665977,0.7366597891432224
3,0.49896345,0.8424918,0.77134687,0.77134687,0.771346891168748
4,0.45369902,0.8692455,0.7940897,0.7940897,0.7940896583808553
5,0.42199805,0.8867154,0.8102416,0.8102416,0.8102415563561612
6,0.3968533,0.89934796,0.822903,0.822903,0.8229029928318956
7,0.37711063,0.90880287,0.83299303,0.83299303,0.8329930425842615
8,0.3608322,0.9162192,0.84148437,0.84148437,0.8414843992657478
9,0.34809974,0.9219114,0.8480398,0.8480398,0.8480398196566189
10,0.33665875,0.92673934,0.85407835,0.85407835,0.8540783249030275
11,0.32663313,0.93076444,0.8591476,0.8591476,0.8591476196406228
12,0.3179916,0.9342399,0.8639282,0.8639282,0.8639281897517026
13,0.3101837,0.9371934,0.86790913,0.86790913,0.8679091461434333
14,0.3029547,0.9398354,0.8717058,0.8717058,0.8717057660154712
15,0.2967698,0.94208467,0.87492573,0.87492573,0.8749257603711689
16,0.290574,0.94421595,0.878029,0.878029,0.8780289598409654
17,0.28520998,0.9460586,0.8807214,0.8807214,0.8807213942722052
18,0.28037485,0.9476902,0.8831304,0.8831304,0.8831303868688282
19,0.2758965,0.9491706,0.8853356,0.8853356,0.885335592020368
20,0.271635,0.95055896,0.88751465,0.88751465,0.8875146280815512
21,0.2676099,0.9518192,0.8895024,0.8895024,0.8895024007305586
22,0.26392525,0.9529603,0.891285,0.891285,0.8912849962493181
23,0.2605222,0.9539909,0.89295614,0.89295614,0.8929561471160281
24,0.25737095,0.95493764,0.89449364,0.89449364,0.8944936311201228
25,0.2544088,0.955816,0.89592993,0.89592993,0.8959299351150041
26,0.25166288,0.9566233,0.8972599,0.8972599,0.897259864019871
27,0.24910997,0.95738333,0.8984736,0.8984736,0.8984736251819869
28,0.2467319,0.95806134,0.89961904,0.89961904,0.8996190511652905
29,0.24445827,0.95873153,0.9006831,0.9006831,0.900683113674814
30,0.24232389,0.95932907,0.9016785,0.9016785,0.901678482223451
31,0.2403522,0.9598775,0.9026164,0.9026164,0.9026163890647999
32,0.23846284,0.9604117,0.9035154,0.9035154,0.9035154134588622
33,0.23665367,0.96093166,0.9043878,0.9043878,0.9043877559964804
34,0.23492786,0.96141356,0.9051975,0.9051975,0.9051974708912947
35,0.2333218,0.96185434,0.9059829,0.9059829,0.9059828863021272
36,0.2317607,0.96228415,0.9067138,0.9067138,0.9067138053552385
37,0.23028243,0.96268266,0.9074219,0.9074219,0.9074219130002057
38,0.22887492,0.9630702,0.908086,0.908086,0.9080860024069332
39,0.2275449,0.9634337,0.908717,0.908717,0.908716998406309
40,0.22624688,0.96377885,0.90934974,0.90934974,0.9093497222174337
41,0.2250259,0.9641052,0.90994173,0.90994173,0.9099417022696217
42,0.22383867,0.96442103,0.91050273,0.91050273,0.910502699679707
43,0.22269844,0.9647194,0.9110349,0.9110349,0.9110348703916856
44,0.22160746,0.96500695,0.9115434,0.9115434,0.9115434016551581
45,0.22056298,0.9652799,0.9120298,0.9120298,0.912029817556275
46,0.21954492,0.9655436,0.91251445,0.91251445,0.9125144387924532
47,0.2185756,0.9658016,0.91297585,0.91297585,0.9129758304932242
48,0.2176078,0.96605223,0.9134123,0.9134123,0.9134122678597006
49,0.21669355,0.96629536,0.91384023,0.91384023,0.9138402505398131
50,0.21580459,0.9665312,0.91425717,0.91425717,0.9142571497305181
