Round,Loss,AUC,Precision,Recall,F1score
1,0.4116162657737732,0.9088621735572815,0.799729585647583,0.799729585647583,0.7997296164426115
2,0.2971543073654175,0.9446296095848083,0.8731971383094788,0.8731971383094788,0.8731971191175971
3,0.2629064917564392,0.9554341435432434,0.8910757303237915,0.8910757303237915,0.8910757155461254
4,0.21730102598667145,0.9663223624229431,0.9128605723381042,0.9128605723381042,0.9128605660537638
5,0.2132568210363388,0.9670810103416443,0.916917085647583,0.916917085647583,0.9169170678155477
6,0.2000098079442978,0.9698538184165955,0.9191706776618958,0.9191706776618958,0.919170683072733
7,0.20310388505458832,0.9703696370124817,0.9140625,0.9140625,0.9140625
8,0.18532253801822662,0.9734799861907959,0.9259315133094788,0.9259315133094788,0.92593150250284
9,0.18035484850406647,0.9750013947486877,0.9265324473381042,0.9265324473381042,0.9265324660244515
10,0.196514293551445,0.9708602428436279,0.9196214079856873,0.9196214079856873,0.9196214169099418
11,0.19805878400802612,0.9705935716629028,0.9184194803237915,0.9184194803237915,0.9184194953935232
12,0.19914348423480988,0.97002112865448,0.9173678159713745,0.9173678159713745,0.9173678070867692
13,0.19800353050231934,0.9702875018119812,0.9166165590286255,0.9166165590286255,0.9166165851902496
14,0.19294318556785583,0.9718230962753296,0.9197716116905212,0.9197716116905212,0.9197716030897648
15,0.191496342420578,0.9722102880477905,0.920823335647583,0.920823335647583,0.9208233077771734
16,0.1950291097164154,0.9710893034934998,0.9193209409713745,0.9193209409713745,0.9193209569254897
17,0.19480815529823303,0.9709149599075317,0.9181190133094788,0.9181190133094788,0.9181190277704111
18,0.19321203231811523,0.9714099168777466,0.9197716116905212,0.9197716116905212,0.9197716030897648
19,0.20002815127372742,0.9699344038963318,0.9152644276618958,0.9152644276618958,0.9152644030782537
20,0.19033265113830566,0.9721878170967102,0.9202223420143127,0.9202223420143127,0.9202223311975197
21,0.19116631150245667,0.9721016883850098,0.919020414352417,0.919020414352417,0.9190204249360059
