Round,Loss,AUC,Precision,Recall,F1score
0,0.700549,0.31836206,0.37362856,0.37362856,0.3736285478683955
1,0.683967,0.57238907,0.5,0.5,0.5
2,0.6718562,0.6214544,0.5421238,0.5421238,0.5421237694781321
3,0.65991855,0.6432868,0.56228805,0.56228805,0.5622880719909668
4,0.64621186,0.6632147,0.57502496,0.57502496,0.5750249447566671
5,0.6312143,0.6867205,0.59585077,0.59585077,0.595850767807071
6,0.6156136,0.7117976,0.61773676,0.61773676,0.6177367734916083
7,0.6004105,0.7341934,0.63686913,0.63686913,0.6368691547719111
8,0.58610034,0.7526934,0.65316844,0.65316844,0.6531684337821723
9,0.57284534,0.76811767,0.6672651,0.6672651,0.667265111433819
10,0.56072974,0.7808756,0.6791614,0.6791614,0.6791614470147628
11,0.5496622,0.79177815,0.6896403,0.6896403,0.689640296263415
12,0.53958154,0.80115575,0.69875246,0.69875246,0.6987524482601519
13,0.5302405,0.80940664,0.70689064,0.70689064,0.7068906377309225
14,0.5215815,0.8167485,0.7142762,0.7142762,0.7142762012576224
15,0.51353824,0.8232895,0.72117496,0.72117496,0.7211749630640033
16,0.50601137,0.8292162,0.72729725,0.72729725,0.7272972686578283
17,0.4989568,0.8346116,0.7328169,0.7328169,0.7328168638218955
18,0.49233842,0.83954227,0.7379025,0.7379025,0.7379024955674296
19,0.48611894,0.8440557,0.74259925,0.74259925,0.7425992563618752
20,0.48022476,0.84826463,0.7469532,0.7469532,0.7469531699169991
21,0.47465125,0.8521712,0.75098383,0.75098383,0.7509838152841662
22,0.46936965,0.855809,0.75487214,0.75487214,0.7548721627035498
23,0.46438503,0.85918236,0.7584281,0.7584281,0.7584281177638523
24,0.45965254,0.8623448,0.76181924,0.76181924,0.7618192680721991
25,0.4551578,0.8653005,0.76503396,0.76503396,0.7650339614526994
26,0.4508764,0.8680786,0.7680771,0.7680771,0.7680770778340698
27,0.44680414,0.8706997,0.7709384,0.7709384,0.7709383649549257
28,0.4429364,0.87315404,0.77369875,0.77369875,0.7736987395950745
29,0.4392484,0.87546396,0.7763548,0.7763548,0.7763547871366853
30,0.4357307,0.8776466,0.7788717,0.7788717,0.7788717469463277
31,0.43236613,0.87971765,0.78124374,0.78124374,0.781243746230572
32,0.42916983,0.8816603,0.7835144,0.7835144,0.7835143501158979
33,0.42609772,0.88350904,0.7857336,0.7857336,0.785733607981902
34,0.4231607,0.8852676,0.7878373,0.7878373,0.7878373398371292
35,0.42034435,0.886935,0.78988516,0.78988516,0.7898851908010777
