Round,Loss,AUC,Precision,Recall,F1score
0,0.68638,0.66390926,0.61612713,0.61612713,0.6161271495568593
1,0.5511368,0.7939061,0.7080487,0.7080487,0.7080486663704598
2,0.4732276,0.85240316,0.7592813,0.7592813,0.7592812600040224
3,0.43162328,0.8787802,0.78571427,0.78571427,0.7857142315282438
4,0.39962384,0.8970879,0.8044847,0.8044847,0.8044847549243114
5,0.37713432,0.9090893,0.8176913,0.8176913,0.8176913156634825
6,0.35940865,0.917741,0.8279944,0.8279944,0.8279943743777194
7,0.345253,0.92429274,0.8363157,0.8363157,0.8363156596488259
8,0.3347518,0.9289004,0.84257334,0.84257334,0.8425733241322619
9,0.32530296,0.93281937,0.84814376,0.84814376,0.8481437600262722
10,0.31772906,0.93583083,0.85264736,0.85264736,0.852647341508582
11,0.31052884,0.9386373,0.85703146,0.85703146,0.8570314415824293
12,0.3042517,0.9410489,0.86090106,0.86090106,0.8609010419410832
13,0.29908112,0.9429717,0.8640163,0.8640163,0.8640162921808735
14,0.29510754,0.9443122,0.86647856,0.86647856,0.8664785777739133
15,0.2898749,0.94614476,0.86957043,0.86957043,0.8695704446872915
16,0.2867184,0.94714427,0.87148625,0.87148625,0.8714862541586267
17,0.28316224,0.94830215,0.87362635,0.87362635,0.8736263406376386
18,0.28021726,0.9492546,0.87525207,0.87525207,0.87525208057344
19,0.27805898,0.9499478,0.87638104,0.87638104,0.876381005702555
20,0.27566683,0.9506508,0.87786216,0.87786216,0.8778621766322202
21,0.27367222,0.9512343,0.8791276,0.8791276,0.8791275987479824
22,0.27128747,0.95195806,0.88059294,0.88059294,0.8805929213806675
23,0.269095,0.9526084,0.8818434,0.8818434,0.8818433569944515
24,0.26702455,0.9532081,0.88303536,0.88303536,0.8830353951687071
25,0.26587006,0.9535128,0.88383293,0.88383293,0.8838329335560433
26,0.26474318,0.9537982,0.8845714,0.8845714,0.8845713916073055
27,0.2634683,0.954144,0.88536316,0.88536316,0.8853631924590457
28,0.26254064,0.9543761,0.8859519,0.8859519,0.8859518887692694
29,0.26144543,0.95467037,0.88663995,0.88663995,0.8866399782189999
30,0.26036242,0.95494527,0.8872884,0.8872884,0.8872883790784086
31,0.2594623,0.9551746,0.8878499,0.8878499,0.8878499427685264
32,0.258849,0.95530635,0.8882469,0.8882469,0.8882469227925066
33,0.25824016,0.95543575,0.8886467,0.8886467,0.8886467237480027
34,0.25760472,0.9555822,0.88906616,0.88906616,0.8890661773505126
35,0.2569653,0.9557441,0.8894829,0.8894829,0.8894828917981696
36,0.25627396,0.95592517,0.8899333,0.8899333,0.8899333134770243
37,0.25562978,0.9560982,0.8903444,0.8903444,0.8903443682008368
38,0.25499368,0.9562667,0.8907724,0.8907724,0.8907723758038061
39,0.25453693,0.956371,0.8910603,0.8910603,0.8910603162872686
40,0.2539592,0.95651835,0.89145,0.89145,0.8914500079533038
41,0.25352547,0.95661694,0.89173985,0.89173985,0.8917398217434873
42,0.25317025,0.9566867,0.8920024,0.8920024,0.8920024213319371
43,0.25279143,0.95676416,0.8922564,0.8922564,0.8922563481749453
44,0.25238797,0.95684785,0.8925057,0.8925057,0.8925056971324706
45,0.2521485,0.9568887,0.89268607,0.89268607,0.8926860614362747
46,0.25186673,0.95694107,0.89289665,0.89289665,0.8928966804447435
47,0.25147203,0.9570301,0.89314485,0.89314485,0.893144869052548
48,0.25110173,0.9571156,0.8933769,0.8933769,0.8933769146586051
49,0.25075054,0.95719707,0.89359075,0.89359075,0.8935907334362106
50,0.25045446,0.95725757,0.89377874,0.89377874,0.893778768944748
