Round,Loss,AUC,Precision,Recall,F1score
0,0.6927227,0.53202933,0.6162756,0.6162756,0.6162755845630723
1,0.5448711,0.7695173,0.7197802,0.7197802,0.7197802434400792
2,0.46415493,0.84577495,0.77041876,0.77041876,0.7704187743250116
3,0.41812974,0.8798434,0.7983368,0.7983368,0.7983368360553623
4,0.38751096,0.8993951,0.8172854,0.8172854,0.8172854220030172
5,0.36564985,0.9116338,0.8304376,0.8304376,0.8304376314513957
6,0.34955007,0.91994226,0.84031993,0.84031993,0.8403199437319396
7,0.3380161,0.92559475,0.8477873,0.8477873,0.8477873008991943
8,0.3304307,0.9292229,0.85298485,0.85298485,0.8529848726593668
9,0.3239933,0.932193,0.85758835,0.85758835,0.8575883491353352
10,0.31670973,0.93521196,0.8620704,0.8620704,0.8620703483427286
11,0.3106499,0.9376186,0.86584246,0.86584246,0.8658424308911221
12,0.30555668,0.9395642,0.86901146,0.86901146,0.8690114326236679
13,0.30122572,0.9411757,0.8717277,0.8717277,0.8717277290018765
14,0.29750732,0.9425367,0.8740818,0.8740818,0.8740817635104915
15,0.2942783,0.94369316,0.8761138,0.8761138,0.8761137511693171
16,0.2914524,0.94469,0.87792414,0.87792414,0.8779241642560796
17,0.2889652,0.945557,0.87954164,0.87954164,0.8795416318226976
18,0.28677407,0.9463134,0.8809732,0.8809732,0.8809732130884141
19,0.28483325,0.9469753,0.88226163,0.88226163,0.8822616213843986
20,0.28312024,0.94755507,0.88340616,0.88340616,0.8834061934421045
21,0.2815944,0.9480736,0.8844669,0.8844669,0.8844669130282773
22,0.28023455,0.9485355,0.88544184,0.88544184,0.8854418394467841
23,0.2790116,0.94894,0.88629836,0.88629836,0.8862983644705356
24,0.2779342,0.94929993,0.8870983,0.8870983,0.8870983347488147
25,0.27697927,0.949609,0.88782525,0.88782525,0.8878252751416628
26,0.2761399,0.94987845,0.8884874,0.8884874,0.8884874192835333
27,0.27540052,0.950107,0.8890757,0.8890757,0.8890756803921102
28,0.27475885,0.95031244,0.88960296,0.88960296,0.8896029302660806
29,0.27419278,0.9504977,0.8901198,0.8901198,0.8901197637670208
30,0.2737161,0.9506593,0.89057934,0.89057934,0.8905793697823811
31,0.27331257,0.9507972,0.8909963,0.8909963,0.8909962961345056
32,0.2729579,0.9509123,0.8913834,0.8913834,0.8913833911113739
33,0.27267653,0.95101744,0.8917478,0.8917478,0.8917478023761041
34,0.2724554,0.95109516,0.8920828,0.8920828,0.8920827791573621
35,0.27229205,0.9511537,0.89238274,0.89238274,0.8923827477684896
36,0.27218792,0.9511865,0.8926545,0.8926545,0.8926544863646504
37,0.27213162,0.9512032,0.8929079,0.8929079,0.8929079112064884
38,0.27212593,0.95120865,0.8931408,0.8931408,0.8931407803947782
39,0.27216917,0.9512107,0.8933546,0.8933546,0.8933545716530747
40,0.27222416,0.9512088,0.8935689,0.8935689,0.893568851032425
41,0.27226833,0.9512112,0.8937729,0.8937729,0.8937728730089808
42,0.27230674,0.9512155,0.893964,0.893964,0.8939639998781189
43,0.2723405,0.9512179,0.8941464,0.8941464,0.8941464155708774
44,0.2723688,0.95122474,0.8943174,0.8943174,0.894317414455035
45,0.2723967,0.9512242,0.89448416,0.89448416,0.8944841837990575
46,0.27242473,0.95122325,0.89464706,0.89464706,0.8946470369435419
47,0.2724502,0.95122546,0.8948062,0.8948062,0.89480619199237
48,0.27247652,0.9512252,0.89495885,0.89495885,0.8949588669082309
49,0.27249965,0.95122945,0.8951054,0.8951054,0.8951054501728232
50,0.27252632,0.9512328,0.89524627,0.89524627,0.8952462559271998
