Round,Loss,AUC,Precision,Recall,F1score
0,0.69281775,0.533829,0.5245025,0.5245025,0.5245025053149588
1,0.69281775,0.533829,0.5245025,0.5245025,0.5245025053149588
2,0.6166197,0.6836436,0.6124146,0.6124146,0.6124146099142235
3,0.5437719,0.77116954,0.6745248,0.6745248,0.6745247797757782
4,0.4939913,0.8195692,0.71485,0.71485,0.7148499986617409
5,0.45828152,0.8496356,0.743169,0.743169,0.7431689803595628
6,0.42968962,0.87030363,0.76433027,0.76433027,0.764330243601235
7,0.40732673,0.88529104,0.7810551,0.7810551,0.7810550727911397
8,0.38829404,0.8968817,0.7948388,0.7948388,0.7948387956009899
9,0.37243658,0.90592057,0.80634093,0.80634093,0.8063409381145517
10,0.35877398,0.91316754,0.81603533,0.81603533,0.8160353072110244
11,0.34706175,0.9190267,0.8242501,0.8242501,0.8242500952010982
12,0.33676726,0.92391175,0.8313952,0.8313952,0.8313952392146623
13,0.32758385,0.9280805,0.83772117,0.83772117,0.8377211522267859
14,0.31931984,0.93169457,0.84344125,0.84344125,0.84344122325307
15,0.3118232,0.93483883,0.8485484,0.8485484,0.8485484269767102
16,0.30492646,0.93761516,0.85315084,0.85315084,0.8531508305168772
17,0.29872113,0.9400535,0.8572831,0.8572831,0.8572831037910218
18,0.29296473,0.9422537,0.8609804,0.8609804,0.8609803878945401
19,0.28783613,0.9441722,0.8642857,0.8642857,0.8642857103449113
20,0.28309944,0.9458934,0.8673116,0.8673116,0.8673115812619742
21,0.27871004,0.9474506,0.87008935,0.87008935,0.870089329966679
22,0.274622,0.9488668,0.8726708,0.8726708,0.872670811059391
23,0.27083907,0.9501408,0.87503093,0.87503093,0.8750309166877092
24,0.26731223,0.95131797,0.87726164,0.87726164,0.8772616511690984
25,0.26405618,0.9523824,0.8793208,0.8793208,0.8793207685041676
26,0.2610359,0.9533548,0.88121086,0.88121086,0.8812108684469603
27,0.2581931,0.9542677,0.88301903,0.88301903,0.8830190566725354
28,0.2555073,0.95511156,0.88468194,0.88468194,0.8846819605861547
29,0.253008,0.9558894,0.8862291,0.8862291,0.8862290821434934
30,0.250662,0.95661503,0.887686,0.887686,0.8876860114551229
31,0.24845888,0.9572835,0.88905185,0.88905185,0.8890518553629151
32,0.24635,0.95792353,0.8903574,0.8903574,0.8903573490944199
33,0.24435943,0.95851535,0.8915949,0.8915949,0.8915948679277573
34,0.24248163,0.95907426,0.8927617,0.8927617,0.8927617175419827
35,0.2406872,0.9595979,0.893876,0.893876,0.8938760135445337
36,0.23898414,0.9600948,0.8949382,0.8949382,0.8949381903752028
37,0.23735917,0.9605605,0.8959483,0.8959483,0.8959483000984997
38,0.23580062,0.96100867,0.89691424,0.89691424,0.8969142443069796
39,0.2343168,0.9614311,0.89782816,0.89782816,0.8978281765779682
40,0.23289478,0.9618335,0.8986903,0.8986903,0.8986903085726096
41,0.23153405,0.96221477,0.89951134,0.89951134,0.8995113474681035
42,0.23023225,0.96257687,0.900315,0.900315,0.900314993023069
43,0.22897436,0.9629267,0.9011023,0.9011023,0.9011023159960174
44,0.22777386,0.9632581,0.9018513,0.9018513,0.9018513135738453
45,0.22660233,0.9635776,0.90257424,0.90257424,0.9025742663965164
46,0.22547196,0.9638829,0.9032727,0.9032727,0.9032727192582538
47,0.2244066,0.9641725,0.90394205,0.90394205,0.9039420779788193
48,0.22336724,0.9644496,0.90458107,0.90458107,0.9045810877343909
49,0.22237463,0.9647175,0.9051975,0.9051975,0.9051974708912947
50,0.22139499,0.9649803,0.90579265,0.90579265,0.9057926406157556
