Round,Loss,AUC,Precision,Recall,F1score
1,0.305240660905838,0.9393131732940674,0.877854585647583,0.877854585647583,0.8778546052147358
2,0.28119343519210815,0.9476473927497864,0.8861178159713745,0.8861178159713745,0.8861177983653279
3,0.2504313290119171,0.9569586515426636,0.8982872366905212,0.8982872366905212,0.8982872063709598
4,0.18381069600582123,0.9730419516563416,0.9281851053237915,0.9281851053237915,0.9281850755845517
5,0.16331931948661804,0.9776200652122498,0.9349459409713745,0.9349459409713745,0.9349459606433593
6,0.1355603039264679,0.9839072227478027,0.9457632303237915,0.9457632303237915,0.945763210492237
7,0.12669625878334045,0.9859617352485657,0.9498196840286255,0.9498196840286255,0.9498196774086259
8,0.12489824742078781,0.9859450459480286,0.950120210647583,0.950120210647583,0.9501202355879775
9,0.11417841911315918,0.9883663654327393,0.9562800526618958,0.9562800526618958,0.9562800814798715
10,0.11200136691331863,0.9882650971412659,0.956129789352417,0.956129789352417,0.9561297673814346
11,0.11124059557914734,0.9884732961654663,0.9576321840286255,0.9576321840286255,0.9576322066384247
12,0.11070338636636734,0.9885367751121521,0.9576321840286255,0.9576321840286255,0.9576322066384247
13,0.10932058840990067,0.9885801672935486,0.9586839079856873,0.9586839079856873,0.9586839058602602
14,0.10872800648212433,0.9886630177497864,0.9585336446762085,0.9585336446762085,0.9585336615443086
15,0.10746236145496368,0.9887824654579163,0.9591346383094788,0.9591346383094788,0.9591346645323038
16,0.10615484416484833,0.9890506267547607,0.9594351053237915,0.9594351053237915,0.9594350998499688
17,0.1056286096572876,0.9891096353530884,0.9604867696762085,0.9604867696762085,0.960486757905745
18,0.10437321662902832,0.9892160892486572,0.9603365659713745,0.9603365659713745,0.9603365836685643
19,0.1021374836564064,0.989468514919281,0.9627403616905212,0.9627403616905212,0.9627403317078896
20,0.10017963498830795,0.9894314408302307,0.9625901579856873,0.9625901579856873,0.9625901795730577
21,0.09807668626308441,0.9897406697273254,0.962890625,0.962890625,0.962890625
