Round,Loss,AUC,Precision,Recall,F1score
0,0.6936239,0.4404368,0.4092664,0.4092664,0.4092663992854429
1,0.55563325,0.73627955,0.6084794,0.6084794,0.6084793786409288
2,0.47817615,0.82604283,0.69364417,0.69364417,0.6936441571489483
3,0.4325614,0.86562645,0.739308,0.739308,0.7393080034474057
4,0.40154117,0.8877398,0.7681616,0.7681616,0.7681615672351427
5,0.3781201,0.9021815,0.7885358,0.7885358,0.7885357915889832
6,0.35954475,0.91239274,0.80391616,0.80391616,0.8039161518371675
7,0.34456307,0.920019,0.8161568,0.8161568,0.8161568247461319
8,0.33222592,0.92592305,0.82607335,0.82607335,0.8260733601645865
9,0.32136038,0.93077767,0.8346005,0.8346005,0.8346004966479371
10,0.3114258,0.9350126,0.84211737,0.84211737,0.8421173403754215
11,0.30259702,0.93856865,0.8485051,0.8485051,0.8485050773932
12,0.29446536,0.9416721,0.8541386,0.8541386,0.8541385846878047
13,0.2872075,0.94434685,0.85919005,0.85919005,0.859190026484554
14,0.28079188,0.9466365,0.86367685,0.86367685,0.8636768583886936
15,0.2751075,0.9486726,0.8677049,0.8677049,0.8677049553180649
16,0.26988593,0.95046496,0.87136394,0.87136394,0.8713639679046418
17,0.26518425,0.9520732,0.87475663,0.87475663,0.8747566517018521
18,0.26071885,0.95353174,0.87777656,0.87777656,0.8777765909646642
19,0.2568585,0.9547654,0.88047224,0.88047224,0.8804722326004292
20,0.25310978,0.9559333,0.8829607,0.8829607,0.8829606965804851
21,0.24961294,0.9569832,0.8852364,0.8852364,0.8852363504442087
22,0.2463682,0.95796144,0.8873336,0.8873336,0.8873335484205098
23,0.2434331,0.9588106,0.88931787,0.88931787,0.8893178800019678
24,0.24067825,0.9596056,0.8911256,0.8911256,0.8911256245314989
25,0.23808607,0.9603554,0.8928514,0.8928514,0.892851399316709
26,0.23572019,0.9610373,0.8944714,0.8944714,0.8944714175097322
27,0.23351549,0.96165055,0.89599156,0.89599156,0.8959915765071402
28,0.23146196,0.962211,0.8973966,0.8973966,0.8973966009283987
29,0.2295206,0.9627399,0.8987427,0.8987427,0.8987427047962648
30,0.22769123,0.9632293,0.90003544,0.90003544,0.9000354236322713
31,0.22596312,0.96368515,0.90125203,0.90125203,0.9012520088621409
32,0.22432321,0.9641162,0.9023814,0.9023814,0.9023814474609643
33,0.22279352,0.9645164,0.90345305,0.90345305,0.9034530728731203
34,0.22134025,0.9648956,0.90449744,0.90449744,0.9044974714577294
35,0.21994597,0.96524197,0.9054673,0.9054673,0.9054673028236047
36,0.21863474,0.9655753,0.9063887,0.9063887,0.9063886993340229
37,0.2173672,0.96589214,0.9072695,0.9072695,0.907269449124972
38,0.21615945,0.9661931,0.9081317,0.9081317,0.9081317166102583
39,0.21501866,0.96648383,0.9089471,0.9089471,0.90894713186613
40,0.21392263,0.9667544,0.90973365,0.90973365,0.9097336543404427
41,0.2128712,0.967008,0.9104827,0.9104827,0.9104827282359538
42,0.21186848,0.9672528,0.91119003,0.91119003,0.9111900048354078
43,0.21090193,0.96748537,0.9118753,0.9118753,0.9118752936926983
44,0.20999809,0.96770066,0.91254,0.91254,0.912540012557903
45,0.20909902,0.96791726,0.91316617,0.91316617,0.9131661565185107
46,0.20825595,0.9681156,0.913772,0.913772,0.913771978174299
47,0.20743968,0.9683017,0.9143371,0.9143371,0.9143370701141347
48,0.20663942,0.96848685,0.91491246,0.91491246,0.9149124503149381
49,0.2058901,0.9686565,0.9154678,0.9154678,0.9154678093972388
50,0.20516269,0.9688196,0.9159926,0.9159926,0.9159926277049567
