Round,Loss,AUC,Precision,Recall,F1score
0,0.68841857,0.6891017,0.61612713,0.61612713,0.6161271495568593
1,0.5402559,0.82010674,0.7294327,0.7294327,0.7294327026397611
2,0.46432123,0.8662581,0.7755173,0.7755173,0.775517309517831
3,0.42417336,0.88775873,0.7989679,0.7989679,0.7989679104494871
4,0.398852,0.90035594,0.8136323,0.8136323,0.8136323361404375
5,0.3812438,0.9086569,0.82382935,0.82382935,0.8238293310242844
6,0.36790603,0.91457415,0.8313887,0.8313887,0.8313886880691876
7,0.35741204,0.91913015,0.83733666,0.83733666,0.8373366282801941
8,0.34883744,0.9227207,0.84214437,0.84214437,0.8421443433635519
9,0.3419825,0.92551327,0.8459608,0.8459608,0.8459607914313577
10,0.33631325,0.9277804,0.84919137,0.84919137,0.8491913458398139
11,0.3315502,0.9296553,0.8518711,0.8518711,0.851871095943367
12,0.32748884,0.93121064,0.8541386,0.8541386,0.8541385846878047
13,0.3239754,0.9325473,0.8561352,0.8561352,0.8561351586461996
14,0.3209038,0.9336904,0.8578458,0.8578458,0.857845784374161
15,0.3181897,0.93470603,0.8594353,0.8594353,0.859435289659456
16,0.31577447,0.9355972,0.8608117,0.8608117,0.8608116840132657
17,0.31360883,0.93638283,0.8620434,0.8620434,0.8620433490648488
18,0.3116628,0.9370735,0.8631219,0.8631219,0.8631219043887337
19,0.30988032,0.9377161,0.8641521,0.8641521,0.8641520875956834
20,0.30823848,0.93830335,0.86509824,0.86509824,0.8650982434817838
21,0.3067454,0.938825,0.86597186,0.86597186,0.8659718484861271
22,0.30535433,0.9393126,0.8667889,0.8667889,0.8667889306406378
23,0.3040668,0.93975806,0.8675193,0.8675193,0.8675193113030769
24,0.30286258,0.94017524,0.8682269,0.8682269,0.8682268750819522
25,0.3017499,0.9405437,0.8688344,0.8688344,0.8688343568214912
26,0.30069956,0.94090456,0.86944085,0.86944085,0.8694408374916028
27,0.29970965,0.94123864,0.87000936,0.87000936,0.8700093550881094
28,0.29877707,0.9415515,0.8705181,0.8705181,0.8705181216950236
29,0.2978858,0.9418503,0.87102765,0.87102765,0.8710276493132785
30,0.2970485,0.9421298,0.87149465,0.87149465,0.8714946748069625
31,0.29625112,0.9423957,0.87193716,0.87193716,0.8719371634265243
32,0.29548147,0.94264907,0.8723799,0.8723799,0.8723799212714092
33,0.29474172,0.9428927,0.87280524,0.87280524,0.8728052162219269
34,0.2940445,0.94312286,0.87318087,0.87318087,0.8731808990095528
35,0.29336932,0.9433471,0.87357277,0.87357277,0.8735727377759419
36,0.2927237,0.94355726,0.87394345,0.87394345,0.873943432486688
37,0.29211006,0.94375575,0.8742829,0.8742829,0.8742828707843785
38,0.2915142,0.9439501,0.8746164,0.8746164,0.8746163525475772
39,0.29093474,0.9441378,0.8749443,0.8749443,0.8749443597815402
40,0.29037935,0.9443179,0.8752599,0.8752599,0.8752598671898877
41,0.2898435,0.9444905,0.8755463,0.8755463,0.8755462931376453
42,0.28932005,0.94466114,0.87584007,0.87584007,0.8758400447307019
43,0.28880844,0.94482744,0.8761239,0.8761239,0.8761238920954737
44,0.28832015,0.9449815,0.87639177,0.87639177,0.8763917686055769
45,0.28783685,0.9451407,0.876648,0.876648,0.8766479873519425
46,0.28737068,0.94529283,0.87690604,0.87690604,0.8769060066576754
47,0.28691804,0.9454371,0.8771625,0.8771625,0.877162501966351
48,0.28647536,0.9455768,0.87740254,0.87740254,0.8774025547723929
49,0.28604403,0.9457115,0.87762994,0.87762994,0.8776299160014743
50,0.2856179,0.94584614,0.87785715,0.87785715,0.877857134563901
