Round,Loss,AUC,Precision,Recall,F1score
0,0.69340485,0.46890202,0.4261954,0.4261954,0.4261954184904353
1,0.54797894,0.75598705,0.6276359,0.6276359,0.6276359135622536
2,0.46785703,0.8381216,0.7084447,0.7084447,0.7084447484504528
3,0.42511284,0.87258315,0.74936885,0.74936885,0.7493688318379984
4,0.39864337,0.8913275,0.77481437,0.77481437,0.7748143966703254
5,0.3799946,0.9031211,0.7922235,0.7922235,0.7922234874604112
6,0.36599633,0.911269,0.805083,0.805083,0.805082989617793
7,0.35485137,0.91719836,0.81470895,0.81470895,0.8147089215328505
8,0.34594965,0.92167705,0.82229483,0.82229483,0.8222948432633715
9,0.33878055,0.9251522,0.8284378,0.8284378,0.8284378309619193
10,0.33289436,0.92790437,0.8335043,0.8335043,0.8335043158974025
11,0.32793665,0.9301669,0.8377636,0.8377636,0.8377635946363735
12,0.32370588,0.93203235,0.84135616,0.84135616,0.8413561748004728
13,0.32007772,0.9336105,0.8444249,0.8444249,0.8444248889628003
14,0.31690973,0.93494964,0.84708446,0.84708446,0.8470844378501995
15,0.31409812,0.9361112,0.8494487,0.8494487,0.8494486570567462
16,0.3115986,0.9371261,0.8515173,0.8515173,0.851517315094613
17,0.309368,0.9380181,0.85338086,0.85338086,0.8533808793593509
18,0.30735695,0.9388123,0.8550795,0.8550795,0.855079443515837
19,0.30551302,0.9395331,0.8566231,0.8566231,0.8566231073722332
20,0.30382878,0.9401784,0.8579985,0.8579985,0.8579984919581521
21,0.3022828,0.9407646,0.8592691,0.8592691,0.8592690846643238
22,0.30085516,0.9412985,0.860468,0.860468,0.8604679869581152
23,0.2995274,0.9417888,0.8615298,0.8615298,0.8615298166495919
24,0.29828617,0.9422407,0.86251265,0.86251265,0.8625126558673157
25,0.29713905,0.94265056,0.86342555,0.86342555,0.8634255281885936
26,0.29605502,0.94304407,0.86429286,0.86429286,0.8642928332874037
27,0.29504552,0.94340384,0.86512476,0.86512476,0.8651247710461035
28,0.29409364,0.94373935,0.86589414,0.86589414,0.8658941483454625
29,0.2931929,0.9440548,0.8666122,0.8666122,0.8666121708413174
30,0.2923365,0.94434744,0.867284,0.867284,0.8672839924041678
31,0.29151878,0.9446313,0.867923,0.867923,0.8679230031977844
32,0.2907482,0.9448922,0.86853236,0.86853236,0.8685323563614178
33,0.2900065,0.9451394,0.8691059,0.8691059,0.8691059027676572
34,0.28929645,0.94537836,0.86966354,0.86966354,0.8696635688360391
35,0.2886267,0.9456024,0.8702068,0.8702068,0.8702067933560311
36,0.28796756,0.9458209,0.8707286,0.8707286,0.8707286395869993
37,0.28735277,0.9460168,0.87122303,0.87122303,0.8712230266523278
38,0.2867543,0.94621015,0.8716997,0.8716997,0.8716996745367801
39,0.28617385,0.9463966,0.87216365,0.87216365,0.8721636212266985
40,0.28562424,0.94658536,0.8726159,0.8726159,0.8726158661180807
41,0.2850922,0.94675523,0.8730359,0.8730359,0.873035926809326
42,0.28457004,0.9469206,0.8734537,0.8734537,0.8734536858266695
43,0.2840598,0.9470849,0.8738525,0.8738525,0.8738524851147399
44,0.28356987,0.94724137,0.8742369,0.8742369,0.8742369144450352
45,0.28309593,0.9473955,0.8745981,0.8745981,0.8745980545235806
46,0.2826317,0.94754314,0.87495023,0.87495023,0.874950244321415
47,0.28218362,0.94768476,0.8752908,0.8752908,0.8752908336109987
48,0.28174785,0.9478236,0.8756235,0.8756235,0.8756235056269261
49,0.281325,0.94795966,0.8759519,0.8759519,0.875951906480347
50,0.28090325,0.94809425,0.87627023,0.87627023,0.8762702128202294
