Round,Loss,AUC,Precision,Recall,F1score
0,0.69219357,0.61901647,0.61612713,0.61612713,0.6161271495568593
1,0.6618972,0.6606996,0.6173151,0.6173151,0.6173151067764081
2,0.5473845,0.7876487,0.7007227,0.7007227,0.700722709493291
3,0.48737055,0.8393373,0.7433175,0.7433175,0.7433174685372981
4,0.44981351,0.8667089,0.7695575,0.7695575,0.7695574606274695
5,0.4237039,0.88362366,0.78762,0.78762,0.7876200301935717
6,0.4043575,0.8950365,0.80081886,0.80081886,0.8008188895829864
7,0.38911203,0.90336794,0.81105214,0.81105214,0.811052121902843
8,0.37690097,0.9096232,0.8191763,0.8191763,0.8191763115911248
9,0.36708948,0.9144003,0.82563114,0.82563114,0.8256311529945006
10,0.35902083,0.9181872,0.83091235,0.83091235,0.8309123356323593
11,0.3522316,0.9212686,0.83536285,0.83536285,0.8353628520970615
12,0.34644744,0.9238208,0.8391058,0.8391058,0.8391057901631207
13,0.34145293,0.92596036,0.8423671,0.8423671,0.8423670845546548
14,0.33708724,0.92778504,0.8451539,0.8451539,0.8451538965522348
15,0.33324885,0.9293633,0.847611,0.847611,0.8476109895304352
16,0.32982036,0.9307353,0.8498227,0.8498227,0.8498226812690639
17,0.32674915,0.9319454,0.85179687,0.85179687,0.8517968928218054
18,0.3239734,0.9330242,0.85357106,0.85357106,0.85357108590692
19,0.3214602,0.9339885,0.85521233,0.85521233,0.8552123552123552
20,0.3191609,0.9348574,0.85673976,0.85673976,0.8567397501048442
21,0.3170564,0.9356478,0.85812163,0.85812163,0.8581216001342512
22,0.31512767,0.9363627,0.8593897,0.8593897,0.859389754606116
23,0.31332794,0.9370227,0.86055833,0.86055833,0.8605583423426868
24,0.31166148,0.93763065,0.86165726,0.86165726,0.8616572393455822
25,0.3100977,0.938194,0.86268306,0.86268306,0.8626830424322655
26,0.30862018,0.93871814,0.8636439,0.8636439,0.863643911400914
27,0.30724996,0.9392041,0.86454666,0.86454666,0.8645466713309065
28,0.30595914,0.939661,0.86540765,0.86540765,0.8654076473309594
29,0.30475375,0.940081,0.8661964,0.8661964,0.866196373831539
30,0.30360273,0.9404792,0.866963,0.866963,0.8669630159063875
31,0.3025112,0.9408549,0.8676678,0.8676678,0.8676677623556971
32,0.3014758,0.94120646,0.86833435,0.86833435,0.868334340890896
33,0.3004892,0.94153994,0.8689748,0.8689748,0.8689748348615383
34,0.29955038,0.9418551,0.8695872,0.8695872,0.8695872139298163
35,0.29865068,0.9421548,0.8701861,0.8701861,0.8701861048132444
36,0.2977868,0.9424419,0.8707768,0.8707768,0.8707767908052523
37,0.29696205,0.9427143,0.871309,0.871309,0.8713089949411481
38,0.29616737,0.9429743,0.87182534,0.87182534,0.8718253655173565
39,0.29539856,0.9432294,0.8723344,0.8723344,0.8723343894297524
40,0.29466167,0.9434717,0.8728223,0.8728223,0.8728223144040153
41,0.29394883,0.94370615,0.873294,0.873294,0.8732939733850088
42,0.29326212,0.94393104,0.8737576,0.8737576,0.8737576078399806
43,0.29258963,0.9441496,0.8741934,0.8741934,0.8741933590158436
44,0.29194513,0.94435483,0.87461305,0.87461305,0.8746130798962924
45,0.29132134,0.94455045,0.8750307,0.8750307,0.8750306782859177
46,0.29071504,0.9447407,0.8754273,0.8754273,0.875427318406401
47,0.2901409,0.94490594,0.87581676,0.87581676,0.8758167323600544
48,0.2895718,0.945076,0.87618726,0.87618726,0.8761872717811987
49,0.2890172,0.9452387,0.87656075,0.87656075,0.876560773586793
50,0.28847796,0.9453967,0.87693703,0.87693703,0.8769370011830706
