Round,Loss,AUC,Precision,Recall,F1score
0,0.694762,0.37555966,0.3838729,0.3838729,0.38387290162745835
1,0.8349757,0.5828447,0.5,0.5,0.5
2,0.66376215,0.73794186,0.62196815,0.62196815,0.6219681292402204
3,0.5754416,0.80295926,0.6839917,0.6839917,0.6839916705851679
4,0.5212022,0.8381793,0.72191864,0.72191864,0.7219186106754703
5,0.48396274,0.8599458,0.74735177,0.74735177,0.7473517926651727
6,0.45676127,0.8747916,0.76579404,0.76579404,0.7657940306472065
7,0.43571663,0.8855612,0.77990425,0.77990425,0.779904226503448
8,0.41900247,0.89373016,0.7910438,0.7910438,0.7910437943284989
9,0.4055534,0.900002,0.8,0.8,0.800000044703483
10,0.39454967,0.9049989,0.8073548,0.8073548,0.8073548157327861
11,0.38531303,0.909066,0.81348383,0.81348383,0.813483798424882
12,0.3774703,0.9124487,0.81869274,0.81869274,0.8186927414120536
13,0.37070614,0.91530925,0.82315755,0.82315755,0.8231575407674219
14,0.36482003,0.91775334,0.8270171,0.8270171,0.8270171376020763
15,0.35964072,0.91987216,0.83040357,0.83040357,0.8304035498490511
16,0.35504442,0.9217208,0.83342654,0.83342654,0.8334265564924119
17,0.35094488,0.9233591,0.83610535,0.83610535,0.8361053129847614
18,0.34725875,0.9248049,0.83853346,0.83853346,0.8385334444771658
19,0.34391516,0.92609984,0.84071875,0.84071875,0.8407187704715802
20,0.34088668,0.92725897,0.8427101,0.8427101,0.8427100543494214
21,0.338102,0.9283261,0.84457433,0.84457433,0.8445743657233659
22,0.33555228,0.92929715,0.8462507,0.8462507,0.8462507142866702
23,0.33319274,0.9301861,0.8477812,0.8477812,0.8477812068668775
24,0.33100206,0.93100595,0.84918916,0.84918916,0.8491891292430773
25,0.32897493,0.931762,0.85050607,0.85050607,0.8505060997437545
26,0.32708353,0.93246007,0.85174185,0.85174185,0.8517418333857365
27,0.32530585,0.93310815,0.8528788,0.8528788,0.8528788172310834
28,0.323638,0.9337118,0.85395265,0.85395265,0.8539526352716573
29,0.32206598,0.9342825,0.85495496,0.85495496,0.854954947669245
30,0.32058188,0.9348192,0.855883,0.855883,0.8558830096159056
31,0.31918728,0.9353188,0.85676235,0.85676235,0.8567623808037338
32,0.31785938,0.93579304,0.85759735,0.85759735,0.8575973499203786
33,0.31659517,0.93624073,0.85838765,0.85838765,0.8583876308861215
34,0.31539097,0.93666404,0.85912853,0.85912853,0.8591285356344638
35,0.3142441,0.93706536,0.85984886,0.85984886,0.8598488687337401
36,0.3131484,0.9374465,0.8605222,0.8605222,0.8605222201835028
37,0.31210965,0.93780994,0.86115235,0.86115235,0.8611523228651902
38,0.3111114,0.93815863,0.8617654,0.8617654,0.8617654113729512
39,0.3101601,0.938492,0.86235523,0.86235523,0.8623552659953884
40,0.30924055,0.938807,0.86291987,0.86291987,0.8629198640943159
41,0.30835548,0.93911445,0.8634506,0.8634506,0.8634506112914846
42,0.30750132,0.9394058,0.86396694,0.86396694,0.8639669236755396
43,0.306684,0.9396868,0.8644599,0.8644599,0.8644598479097415
44,0.30588835,0.9399604,0.86494076,0.86494076,0.8649407516818964
45,0.30512786,0.9402211,0.8654072,0.8654072,0.8654072380675308
46,0.30439156,0.94047236,0.8658601,0.8658601,0.865860102506264
47,0.30367884,0.9407121,0.86630344,0.86630344,0.8663034533815508
48,0.30298606,0.9409443,0.86673474,0.86673474,0.8667347344092685
49,0.3023137,0.9411673,0.8671547,0.8671547,0.8671547097620488
50,0.30167142,0.9413809,0.8675437,0.8675437,0.8675437142836727
