Round,Loss,AUC,Precision,Recall,F1score
0,0.6952687,0.376148,0.3838729,0.3838729,0.38387290162745835
1,0.6534714,0.59613365,0.5024502,0.5024502,0.5024502011692921
2,0.5409966,0.75860757,0.62290865,0.62290865,0.6229086394723096
3,0.48256803,0.8229122,0.6841773,0.6841773,0.6841772813559853
4,0.44602317,0.85600644,0.7212355,0.7212355,0.7212354809672865
5,0.42075813,0.8758369,0.74601525,0.74601525,0.7460152592761028
6,0.40200886,0.88915366,0.7642878,0.7642878,0.7642878344226322
7,0.38711894,0.8987972,0.7785306,0.7785306,0.7785306306069038
8,0.37492934,0.9060144,0.7898063,0.7898063,0.7898063287129914
9,0.36513326,0.91151005,0.798812,0.798812,0.798811969191397
10,0.35704252,0.9158228,0.8062073,0.8062073,0.8062073291313252
11,0.3502456,0.9193534,0.81241953,0.81241953,0.8124195074180467
12,0.3444652,0.922232,0.81767607,0.81767607,0.817676031656336
13,0.33946958,0.924635,0.8222029,0.8222029,0.8222029195298107
14,0.33508915,0.9266857,0.8261855,0.8261855,0.8261854963385643
15,0.33122623,0.928464,0.82971674,0.82971674,0.8297167661961058
16,0.3277976,0.92999434,0.83282375,0.83282375,0.8328237596461154
17,0.3247281,0.9313358,0.8355773,0.8355773,0.8355773065630162
18,0.32194614,0.93253314,0.8381192,0.8381192,0.8381191734168096
19,0.31943163,0.9335963,0.8404069,0.8404069,0.8404068941099974
20,0.31713352,0.93455106,0.8424484,0.8424484,0.8424483790399832
21,0.31501734,0.9354141,0.84434485,0.84434485,0.8443448411789671
22,0.31306273,0.9362091,0.84612155,0.84612155,0.8461215771349416
23,0.311258,0.936935,0.8477564,0.8477564,0.8477563651867343
24,0.30957246,0.93760633,0.8492426,0.8492426,0.8492426301734982
25,0.30800742,0.9382195,0.8506088,0.8506088,0.8506088075494883
26,0.30653796,0.93878555,0.85190135,0.85190135,0.8519013389718953
27,0.30516124,0.9393148,0.85309625,0.85309625,0.8530962272350617
28,0.3038644,0.9398032,0.85424453,0.85424453,0.8542445163201249
29,0.30264288,0.9402601,0.8553212,0.8553212,0.8553212428037
30,0.30148965,0.94068944,0.8563333,0.8563333,0.8563333370223714
31,0.3003832,0.94109166,0.8573053,0.8573053,0.8573052887550167
32,0.29933447,0.94147646,0.85821384,0.85821384,0.858213866100346
33,0.29833233,0.94184244,0.8590952,0.8590952,0.8590952504317909
34,0.2973831,0.9421855,0.85992193,0.85992193,0.8599219135992441
35,0.29647592,0.9425096,0.86070275,0.86070275,0.8607027217636104
36,0.29560614,0.9428212,0.8614574,0.8614574,0.8614574267219277
37,0.29477233,0.9431158,0.8621567,0.8621567,0.8621566779394838
38,0.29397044,0.9434028,0.86285824,0.86285824,0.8628582642914562
39,0.29320133,0.94367194,0.8635135,0.8635135,0.8635135072638873
40,0.29245937,0.9439346,0.8641477,0.8641477,0.8641477478986229
41,0.29174435,0.9441834,0.8647482,0.8647482,0.8647482121498337
42,0.29105324,0.94442135,0.8653242,0.8653242,0.8653242025217301
43,0.29038787,0.94465244,0.86586726,0.86586726,0.8658672683298958
44,0.28974268,0.9448736,0.86637294,0.86637294,0.8663729317113356
45,0.2891206,0.9450785,0.86687607,0.86687607,0.866876098881397
46,0.2885116,0.9452836,0.86735463,0.86735463,0.8673546550542627
47,0.2879185,0.9454825,0.86782557,0.86782557,0.8678255460948123
48,0.28733915,0.94567424,0.8682925,0.8682925,0.8682925061220051
49,0.28678235,0.94585806,0.8687229,0.8687229,0.8687229120605277
50,0.28623748,0.94603604,0.8691481,0.8691481,0.8691480559612149
