Round,Loss,AUC,Precision,Recall,F1score
1,0.4621005058288574,0.8964718580245972,0.7965745329856873,0.7965745329856873,0.7965745014910243
2,0.2994043529033661,0.9415236711502075,0.8734976053237915,0.8734976053237915,0.8734975801198483
3,0.2748173475265503,0.9503388404846191,0.8840144276618958,0.8840144276618958,0.8840144232795222
4,0.23162521421909332,0.9612473249435425,0.9054988026618958,0.9054988026618958,0.905498833610271
5,0.24349790811538696,0.9576122164726257,0.9015925526618958,0.9015925526618958,0.9015925532715955
6,0.23630808293819427,0.9603220224380493,0.9018930196762085,0.9018930196762085,0.9018929957821077
7,0.24080941081047058,0.9583055973052979,0.899489164352417,0.899489164352417,0.8994891896612826
8,0.23731033504009247,0.9601889848709106,0.9024940133094788,0.9024940133094788,0.9024940135735702
9,0.22071561217308044,0.964583158493042,0.91015625,0.91015625,0.91015625
10,0.22329387068748474,0.9639067053794861,0.9094050526618958,0.9094050526618958,0.909405048145853
11,0.22218990325927734,0.9640251994132996,0.909254789352417,0.909254789352417,0.9092547744429216
12,0.22230659425258636,0.9641786813735962,0.9079026579856873,0.9079026579856873,0.9079026572800732
13,0.2222815304994583,0.964039146900177,0.9086538553237915,0.9086538553237915,0.9086538505690049
14,0.22377894818782806,0.9637362957000732,0.907151460647583,0.907151460647583,0.9071514682897098
15,0.22906050086021423,0.9622550010681152,0.9047476053237915,0.9047476053237915,0.9047476056953402
16,0.22123639285564423,0.9642751812934875,0.91015625,0.91015625,0.91015625
17,0.2253788560628891,0.9634456038475037,0.9070011973381042,0.9070011973381042,0.9070011707335666
18,0.22774656116962433,0.9621781706809998,0.9080528616905212,0.9080528616905212,0.9080528473378262
19,0.2205251306295395,0.9644880294799805,0.9107571840286255,0.9107571840286255,0.9107571546279214
20,0.22330640256404877,0.9640548229217529,0.9070011973381042,0.9070011973381042,0.9070011707335666
21,0.2225862294435501,0.9641208648681641,0.908203125,0.908203125,0.908203125
22,0.22009141743183136,0.9648206233978271,0.9088040590286255,0.9088040590286255,0.9088040546718015
23,0.22862127423286438,0.9624439477920532,0.9059495329856873,0.9059495329856873,0.9059495525816926
24,0.21885278820991516,0.964800238609314,0.9106069803237915,0.9106069803237915,0.9106070057503052
25,0.22073017060756683,0.9645715355873108,0.9085035920143127,0.9085035920143127,0.9085035907966068
26,0.2239166647195816,0.9634875059127808,0.9086538553237915,0.9086538553237915,0.9086538505690049
27,0.2162422239780426,0.9655835032463074,0.911207914352417,0.911207914352417,0.9112079045852529
28,0.21712453663349152,0.9653454422950745,0.9109074473381042,0.9109074473381042,0.9109074561208641
