Round,Loss,AUC,Precision,Recall,F1score
0,0.68510693,0.6821896,0.61612713,0.61612713,0.6161271495568593
1,0.584157,0.7798278,0.6970597,0.6970597,0.6970596818855277
2,0.5053894,0.83597434,0.74720323,0.74720323,0.7472032125105397
3,0.4599172,0.8643521,0.7739085,0.7739085,0.7739084860401586
4,0.43085933,0.88100636,0.7906148,0.7906148,0.7906148187825757
5,0.4061314,0.8946141,0.80474705,0.80474705,0.8047470579935511
6,0.38750723,0.9041991,0.8155416,0.8155416,0.815541627644853
7,0.37305528,0.91120595,0.82373035,0.82373035,0.823730370881067
8,0.36187398,0.9163458,0.83018184,0.83018184,0.8301818476838975
9,0.35222366,0.9205938,0.83587766,0.83587766,0.8358776214551081
10,0.34708497,0.9228441,0.83933634,0.83933634,0.83933632572198
11,0.33955792,0.92611057,0.8438521,0.8438521,0.8438521124755951
12,0.33410537,0.9284729,0.8472162,0.8472162,0.8472162060187581
13,0.32876873,0.930732,0.8505346,0.8505346,0.8505345944102299
14,0.32503045,0.93228674,0.85289574,0.85289574,0.852895714202651
15,0.31979635,0.9343844,0.85600126,0.85600126,0.8560012388835063
16,0.316724,0.9356189,0.8577893,0.8577893,0.8577893084968741
17,0.3134805,0.93685526,0.8597994,0.8597994,0.8597994182338489
18,0.311527,0.93760586,0.86110544,0.86110544,0.8611054428643495
19,0.30933008,0.93843156,0.8625334,0.8625334,0.8625333764451149
20,0.3076703,0.9390302,0.86353546,0.86353546,0.8635354725563806
21,0.3063657,0.9394983,0.86450034,0.86450034,0.8645003219476901
22,0.30448255,0.94016,0.8657623,0.8657623,0.8657622632190485
23,0.30303004,0.9406939,0.8667582,0.8667582,0.8667582188987738
24,0.30158257,0.9411942,0.86776954,0.86776954,0.8677695492822636
25,0.3003491,0.9416142,0.8686002,0.8686002,0.868600196271204
26,0.2995002,0.94189626,0.8692264,0.8692264,0.8692264296743122
27,0.29829922,0.9422988,0.8700995,0.8700995,0.8700994742580875
28,0.29728362,0.9426186,0.8708151,0.8708151,0.8708151272979954
29,0.29638863,0.9428934,0.87144345,0.87144345,0.8714434185943677
30,0.29562652,0.9431275,0.87204075,0.87204075,0.8720407540018
31,0.2950007,0.9433275,0.8725405,0.8725405,0.8725404404732628
32,0.2941856,0.9435682,0.87315387,0.87315387,0.8731538359615624
33,0.29341698,0.94380826,0.87370497,0.87370497,0.8737049775837463
34,0.292871,0.94396687,0.8741525,0.8741525,0.8741524951341024
35,0.2922747,0.94414014,0.87457514,0.87457514,0.8745751361554361
36,0.2918113,0.9442833,0.8749187,0.8749187,0.8749186917097563
37,0.29132307,0.94443536,0.87530285,0.87530285,0.8753028315348605
38,0.29082644,0.9445836,0.87564445,0.87564445,0.8756444476149686
39,0.2903059,0.9447427,0.8760172,0.8760172,0.8760172224100896
40,0.2899538,0.9448363,0.876332,0.876332,0.8763319839174677
41,0.28958625,0.94493705,0.87665296,0.87665296,0.8766529669027229
42,0.2890828,0.94507337,0.87700045,0.87700045,0.8770004756135571
43,0.2887212,0.9451701,0.8772849,0.8772849,0.8772848784222305
44,0.2881633,0.94532084,0.87767875,0.87767875,0.8776787595196905
45,0.2877116,0.94544286,0.8780071,0.8780071,0.8780071165196872
46,0.2873518,0.94553477,0.8782551,0.8782551,0.8782551445311726
47,0.28709024,0.9455947,0.87844646,0.87844646,0.8784464746165088
48,0.28675956,0.94567716,0.8786814,0.8786814,0.8786813955501313
49,0.28633347,0.9457893,0.87897533,0.87897533,0.8789753056925932
50,0.28588402,0.94590664,0.87928975,0.87928975,0.8792897304873348
