Round,Loss,AUC,Precision,Recall,F1score
0,0.69099057,0.67434895,0.5892486,0.5892486,0.5892486216045376
1,0.58113146,0.75879616,0.66728544,0.66728544,0.6672854293164423
2,0.5223718,0.81362045,0.71730524,0.71730524,0.7173052050437143
3,0.4748698,0.85066414,0.75274724,0.75274724,0.7527472279482395
4,0.44304132,0.87232834,0.77600235,0.77600235,0.7760023516111909
5,0.42347416,0.88452077,0.7905405,0.7905405,0.7905404850114254
6,0.4081414,0.8934134,0.80164623,0.80164623,0.8016462008096723
7,0.39564806,0.9002495,0.8105324,0.8105324,0.8105323853546247
8,0.3862054,0.9051369,0.8172953,0.8172953,0.8172952915488253
9,0.37553206,0.91045254,0.82451737,0.82451737,0.824517357128616
10,0.36796483,0.9140876,0.8295083,0.8295083,0.8295082791783193
11,0.3628607,0.91647786,0.8332096,0.8332096,0.8332095637887201
12,0.3581277,0.91867167,0.8365242,0.8365242,0.836524185639907
13,0.3561155,0.9196491,0.8383894,0.8383894,0.8383893887602873
14,0.35295627,0.9210197,0.8405603,0.8405603,0.8405603299669231
15,0.3519566,0.92153305,0.841606,0.841606,0.8416060390631429
16,0.35127702,0.92193955,0.84251994,0.84251994,0.8425199073033524
17,0.34967053,0.92268497,0.8438191,0.8438191,0.8438190893720993
18,0.3483223,0.9232833,0.84491897,0.84491897,0.8449189538938899
19,0.34769428,0.9236412,0.84562665,0.84562665,0.8456266505564394
20,0.34698877,0.92400366,0.8462741,0.8462741,0.846274046224279
21,0.3467817,0.9242001,0.8468491,0.8468491,0.846849083283302
22,0.34654784,0.92436254,0.84719336,0.84719336,0.8471933745456622
23,0.34595403,0.92466086,0.8478616,0.8478616,0.8478615838569333
24,0.34515762,0.9250396,0.8485299,0.8485299,0.848529875275789
25,0.3436604,0.9256751,0.8496036,0.8496036,0.8496035809780326
26,0.34259912,0.92614645,0.85051537,0.85051537,0.8505153728849668
27,0.34158105,0.9265848,0.85133016,0.85133016,0.8513301523844864
28,0.34081918,0.9269293,0.8519351,0.8519351,0.8519351191788429
29,0.34010223,0.92725885,0.8525196,0.8525196,0.852519540610806
30,0.33958417,0.9275123,0.8530184,0.8530184,0.8530183965452691
31,0.3394076,0.9276507,0.85339785,0.85339785,0.8533978365149564
32,0.33918238,0.9278136,0.85377234,0.85377234,0.8537723220098293
33,0.3389358,0.92796904,0.85415536,0.85415536,0.8541553314577335
34,0.33865267,0.9281342,0.85455894,0.85455894,0.854558935127836
35,0.3385334,0.9282333,0.85486996,0.85486996,0.8548699661101279
36,0.33809772,0.9284421,0.8552926,0.8552926,0.8552926391705203
37,0.3379468,0.9285525,0.85559535,0.85559535,0.8555953293557675
38,0.3375712,0.92873627,0.8559777,0.8559777,0.8559777111819344
39,0.33711293,0.92895216,0.8563484,0.8563484,0.8563483955264032
40,0.3367634,0.929119,0.856672,0.856672,0.856671990000954
41,0.33647627,0.92926013,0.8569979,0.8569979,0.8569978840647184
42,0.33629102,0.92936337,0.857243,0.857243,0.8572429812480762
43,0.33604258,0.92950046,0.8575209,0.8575209,0.8575209116848881
44,0.3359452,0.9295888,0.85773355,0.85773355,0.8577335791178844
45,0.3362147,0.9295484,0.857824,0.857824,0.8578240439291577
46,0.33609024,0.92964137,0.85805595,0.85805595,0.8580559316300113
47,0.33608004,0.92969686,0.8581978,0.8581978,0.8581978126386896
48,0.33600098,0.9297715,0.8583642,0.8583642,0.8583642537213834
49,0.33599585,0.9298153,0.8584942,0.8584942,0.8584942189354088
50,0.335866,0.9298975,0.8587298,0.8587298,0.8587298133315564
