Round,Loss,AUC,Precision,Recall,F1score
0,0.6681309,0.6783351,0.61612713,0.61612713,0.6161271495568593
1,0.5663711,0.78234243,0.70470744,0.70470744,0.7047074400308077
2,0.48738694,0.8443897,0.75556874,0.75556874,0.7555687209399559
3,0.44366866,0.8732054,0.78326404,0.78326404,0.7832640463161451
4,0.41194153,0.8919375,0.8026433,0.8026433,0.8026433003715993
5,0.39078093,0.90330255,0.8160083,0.8160083,0.8160083293719049
6,0.37492448,0.9112825,0.82614875,0.82614875,0.8261487556415812
7,0.36138046,0.9175763,0.83451515,0.83451515,0.8345151551967486
8,0.35322857,0.9211256,0.83917433,0.83917433,0.8391743339321681
9,0.34291658,0.9255309,0.8453668,0.8453668,0.8453667553626723
10,0.33419207,0.92911834,0.8503929,0.8503929,0.8503929110250942
11,0.3280627,0.9314529,0.85392535,0.85392535,0.8539253508710088
12,0.3226887,0.9334789,0.8568801,0.8568801,0.8568801486192708
13,0.3178661,0.9353027,0.8595825,0.8595825,0.8595825051948837
14,0.31405056,0.9367125,0.8616375,0.8616375,0.8616374598623481
15,0.31037363,0.93805146,0.86350054,0.86350054,0.863500547209645
16,0.30749896,0.9390663,0.8651706,0.8651706,0.8651705658789428
17,0.30409598,0.940263,0.86698514,0.86698514,0.866985108964589
18,0.30112645,0.94131505,0.86856174,0.86856174,0.8685617148667092
19,0.29858705,0.94222856,0.86997324,0.86997324,0.8699732640966409
20,0.29639146,0.9430123,0.8711938,0.8711938,0.8711938056159166
21,0.29482797,0.9435158,0.8721481,0.8721481,0.8721480825496232
22,0.2930108,0.94414455,0.8731744,0.8731744,0.8731744348383105
23,0.29131505,0.9447135,0.87413377,0.87413377,0.8741337766767532
24,0.28991035,0.9451698,0.8749569,0.8749569,0.8749569207500527
25,0.28846252,0.9456662,0.87570536,0.87570536,0.8757053717634032
26,0.287158,0.9460968,0.8764314,0.8764314,0.8764314310335248
27,0.2859852,0.9464976,0.87703127,0.87703127,0.8770312345068279
28,0.2851058,0.94677407,0.8775693,0.8775693,0.8775693006329479
29,0.2840288,0.9471348,0.8781606,0.8781606,0.8781605895300986
30,0.28300425,0.94747514,0.8787137,0.8787137,0.878713734630185
31,0.282132,0.9477519,0.8792044,0.8792044,0.8792043877260061
32,0.28138125,0.94799775,0.8796114,0.8796114,0.8796113550936715
33,0.28076935,0.9481786,0.88001627,0.88001627,0.8800162392562074
34,0.2799891,0.948431,0.88046587,0.88046587,0.8804658833615425
35,0.27935582,0.9486298,0.88084924,0.88084924,0.8808492753988003
36,0.2786954,0.9488342,0.88121593,0.88121593,0.8812159479449553
37,0.27810234,0.9490229,0.88153595,0.88153595,0.8815359507506532
38,0.27765587,0.94916487,0.8818053,0.8818053,0.8818052676994922
39,0.27699125,0.9493829,0.8821726,0.8821726,0.8821725764168536
40,0.27649036,0.9495415,0.8824458,0.8824458,0.882445803386211
41,0.27596563,0.94970953,0.88273793,0.88273793,0.8827379145752988
42,0.275689,0.9497923,0.8829508,0.8829508,0.8829508117484536
43,0.27521506,0.9499251,0.883262,0.883262,0.8832619808097578
44,0.2747969,0.9500592,0.8835099,0.8835099,0.8835098762477032
45,0.2744699,0.9501605,0.88376635,0.88376635,0.8837663827121335
46,0.2741375,0.950264,0.88399297,0.88399297,0.8839929981516345
47,0.27379677,0.95037043,0.8842132,0.8842132,0.8842132021304736
48,0.2733732,0.9504958,0.88446385,0.88446385,0.8844638203212771
49,0.27298638,0.95060575,0.8846956,0.8846956,0.884695597420124
50,0.27268815,0.9506931,0.8848978,0.8848978,0.884897820454392
